task_id,run_uuid,status,creation_time,param_angle_of_attack,param_beta,param_tip_twist,param_x_tip_scale,param_y_tip_scale,obj_lift_to_drag
doe-200_gan-1-19-19500,0198b82c-e36a-7f02-a604-a1d24da53172,Finished,2025-08-17T13:16:46Z,16.04365871,0.4567754852,-5,0.8,0.8,6.9060890446837755
doe-200_gan-1-19-19500,0198b848-1df2-7c76-ba45-c017e1703157,Finished,2025-08-17T13:46:30Z,13.0294599,0.7316112043,-5,0.8,0.8,9.415700390760113
doe-200_gan-1-19-19500,0198b868-6415-7e39-a037-411d2a6e2d73,Finished,2025-08-17T14:21:45Z,13.84686885,0.3660891262,-5,0.8,0.8,8.111484726547575
doe-200_gan-1-19-19500,0198b881-27b6-7243-aebd-428cb759cd78,Finished,2025-08-17T14:48:48Z,16.32580553,0.8186686201,-5,0.8,0.8,6.152190303692754
doe-200_gan-1-19-19500,0198b8a2-4a7a-7df0-a13f-9d045641ba07,Finished,2025-08-17T15:25:00Z,16.12654598,0.02997468805,-5,0.8,0.8,5.35403487227645
doe-200_gan-1-19-19500,0198b8bf-0758-7003-b3eb-ea659d37aade,Finished,2025-08-17T15:56:23Z,16.63166315,0.8356336983,-5,0.8,0.8,5.896070956522216
doe-200_gan-1-19-19500,0198b8e1-77f4-7a50-80d2-59c10e4a22c4,Finished,2025-08-17T16:34:00Z,15.32142625,0.03839179592,-5,0.8,0.8,5.651806173272673
doe-200_gan-1-19-19500,0198b8fe-04d3-7b7f-ae22-ed778a8c7553,Finished,2025-08-17T17:05:11Z,15.98355575,0.2898284733,-5,0.8,0.8,6.470229808551369
doe-200_gan-1-19-19500,0198b915-ad0e-715d-bdaa-9a03de14c20d,Finished,2025-08-17T17:31:02Z,14.841264,0.02444238591,-5,0.8,0.8,5.7986121080327075
doe-200_gan-1-19-19500,0198b930-3586-7d5e-a4d2-1ecb7bd03b05,Finished,2025-08-17T18:00:01Z,15.11597603,0.7000443436,-5,0.8,0.8,7.603849473777709
doe-200_gan-1-19-19500,0198b949-66af-79b9-b4a6-d21e33c5d892,Finished,2025-08-17T18:27:32Z,14.93296251,0.1868945323,-5,0.8,0.8,6.533475314612817
doe-200_gan-1-19-19500,0198b964-601d-71ed-a857-caa80a896107,Finished,2025-08-17T18:56:59Z,13.49226877,0.2291073305,-5,0.8,0.8,7.6230303255595935
doe-200_gan-1-19-19500,0198b97a-9d64-7400-9642-d57f17478d1c,Finished,2025-08-17T19:21:17Z,16.40717108,0.7542908613,-5,0.8,0.8,6.486824575365715
doe-200_gan-1-19-19500,0198b993-3c03-7378-816b-1dcf98d99ad9,Finished,2025-08-17T19:48:10Z,13.92115615,0.6499706806,-5,0.8,0.8,8.638975576349205
